Jahr;Quartal;Monat;Hauptgruppen (WZ 08);Auftragseingang insgesamt (in 1000 EUR);Auftragseingang Ausland (in 1000 EUR);Auftragseingang Eurozone (in 1000 EUR);Umsatz insgesamt aus Auftragseingang (in 1000 EUR);Umsatz Ausland aus Auftragseingang (in 1000 EUR);Umsatz Eurozone aus Auftragseingang (in 1000 EUR)
2019;2. Quartal;05;B Investitionsgüter;155081;99038;19489;190643;122208;31903
2019;2. Quartal;05;GG Gebrauchsgüter;-;-;-;-;-;-
2019;2. Quartal;05;VG Verbrauchsgüter;-;-;-;-;-;-
2019;2. Quartal;05;Verarbeitendes Gewerbe gesamt;403475;248830;131157;489177;318788;189334
2019;2. Quartal;06;A+EN Vorleistungsgüter und Energie;189589;122928;91950;196733;131123;92348
2019;2. Quartal;06;B Investitionsgüter;122084;69675;17743;156680;95522;21302
2019;2. Quartal;06;GG Gebrauchsgüter;-;-;-;-;-;-
2019;2. Quartal;06;VG Verbrauchsgüter;-;-;-;-;-;-
2019;2. Quartal;06;Verarbeitendes Gewerbe gesamt;342771;214897;127165;384860;246963;131675
2019;3. Quartal;07;A+EN Vorleistungsgüter und Energie;220460;138572;101577;192160;110815;76786
2019;3. Quartal;07;B Investitionsgüter;190445;101268;32808;147959;72875;28081
2019;3. Quartal;07;GG Gebrauchsgüter;-;-;-;-;-;-
2019;3. Quartal;07;VG Verbrauchsgüter;-;-;-;-;-;-
2019;3. Quartal;07;Verarbeitendes Gewerbe gesamt;442091;259604;152127;372929;204941;124279
2019;3. Quartal;08;A+EN Vorleistungsgüter und Energie;211455;121795;88720;219083;132045;91519
2019;3. Quartal;08;B Investitionsgüter;274329;138155;34154;159347;95023;26275
2019;3. Quartal;08;GG Gebrauchsgüter;-;-;-;-;-;-
2019;3. Quartal;08;VG Verbrauchsgüter;-;-;-;-;-;-
2019;3. Quartal;08;Verarbeitendes Gewerbe gesamt;516566;278979;140066;412008;248315;136579
2019;3. Quartal;09;A+EN Vorleistungsgüter und Energie;185357;124331;91248;197468;136848;102504
2019;3. Quartal;09;B Investitionsgüter;206175;139838;25249;236001;151348;28897
2019;3. Quartal;09;GG Gebrauchsgüter;-;-;-;-;-;-
2019;3. Quartal;09;VG Verbrauchsgüter;-;-;-;-;-;-
2019;3. Quartal;09;Verarbeitendes Gewerbe gesamt;421010;283426;133435;467880;309685;149822
2019;4. Quartal;10;A+EN Vorleistungsgüter und Energie;190530;118699;93978;264074;199666;167344
2019;4. Quartal;10;B Investitionsgüter;149222;88694;35115;168519;106905;31119
2019;4. Quartal;10;GG Gebrauchsgüter;-;-;-;-;-;-
2019;4. Quartal;10;VG Verbrauchsgüter;-;-;-;-;-;-
2019;4. Quartal;10;Verarbeitendes Gewerbe gesamt;374329;231203;151402;473418;332250;220403
2019;4. Quartal;11;A+EN Vorleistungsgüter und Energie;206557;129797;98255;224550;153760;120774
2019;4. Quartal;11;B Investitionsgüter;153041;92800;23097;187526;103268;26043
2019;4. Quartal;11;GG Gebrauchsgüter;-;-;-;-;-;-
2019;4. Quartal;11;VG Verbrauchsgüter;-;-;-;-;-;-
2019;4. Quartal;11;Verarbeitendes Gewerbe gesamt;400631;249933;146087;455268;287133;172738
2019;4. Quartal;12;A+EN Vorleistungsgüter und Energie;196319;132296;100452;199426;140401;103748
2019;4. Quartal;12;B Investitionsgüter;150508;96242;21363;194648;121136;17927
2019;4. Quartal;12;GG Gebrauchsgüter;-;-;-;-;-;-
2019;4. Quartal;12;VG Verbrauchsgüter;-;-;-;-;-;-
2019;4. Quartal;12;Verarbeitendes Gewerbe gesamt;390729;260981;152446;441428;296342;154324
2020;1. Quartal;01;A+EN Vorleistungsgüter und Energie;182584;113454;72847;185549;117532;81773
2020;1. Quartal;01;B Investitionsgüter;193055;91683;22645;150356;57648;14594
2020;1. Quartal;01;GG Gebrauchsgüter;-;-;-;-;-;-
2020;1. Quartal;01;VG Verbrauchsgüter;-;-;-;-;-;-
2020;1. Quartal;01;Verarbeitendes Gewerbe gesamt;410420;227807;115824;371879;198395;117115
2020;1. Quartal;02;A+EN Vorleistungsgüter und Energie;221851;142824;70713;162406;91821;53875
2020;1. Quartal;02;B Investitionsgüter;183394;73663;18133;144592;59964;15489
2020;1. Quartal;02;GG Gebrauchsgüter;-;-;-;-;-;-
2020;1. Quartal;02;VG Verbrauchsgüter;-;-;-;-;-;-
2020;1. Quartal;02;Verarbeitendes Gewerbe gesamt;435541;236345;107053;340231;173348;88275
2020;1. Quartal;03;A+EN Vorleistungsgüter und Energie;199877;136000;79452;222555;151054;115484
2020;1. Quartal;03;B Investitionsgüter;128250;48472;17823;146154;63397;27177
2020;1. Quartal;03;GG Gebrauchsgüter;-;-;-;-;-;-
2020;1. Quartal;03;VG Verbrauchsgüter;-;-;-;-;-;-
2020;1. Quartal;03;Verarbeitendes Gewerbe gesamt;379578;222962;130294;416907;247956;171183
2020;2. Quartal;04;A+EN Vorleistungsgüter und Energie;178960;113649;69780;210230;145245;105445
2020;2. Quartal;04;B Investitionsgüter;127519;46602;7522;89274;37713;6490
2020;2. Quartal;04;GG Gebrauchsgüter;-;-;-;-;-;-
2020;2. Quartal;04;VG Verbrauchsgüter;-;-;-;-;-;-
2020;2. Quartal;04;Verarbeitendes Gewerbe gesamt;343442;186426;97656;333681;206315;131554
2020;2. Quartal;05;A+EN Vorleistungsgüter und Energie;167611;109908;70393;150916;86856;47362
2020;2. Quartal;05;B Investitionsgüter;124630;38934;9170;131936;49811;10706
2020;2. Quartal;05;GG Gebrauchsgüter;-;-;-;-;-;-
2020;2. Quartal;05;VG Verbrauchsgüter;-;-;-;-;-;-
2020;2. Quartal;05;Verarbeitendes Gewerbe gesamt;324602;170396;99733;313681;157035;75778
2020;2. Quartal;06;A+EN Vorleistungsgüter und Energie;169609;115702;74938;181810;118917;83862
2020;2. Quartal;06;B Investitionsgüter;121262;53957;22656;137574;50010;23520
2020;2. Quartal;06;GG Gebrauchsgüter;-;-;-;-;-;-
2020;2. Quartal;06;VG Verbrauchsgüter;-;-;-;-;-;-
2020;2. Quartal;06;Verarbeitendes Gewerbe gesamt;324131;192530;118343;355701;192539;126932
2020;3. Quartal;07;A+EN Vorleistungsgüter und Energie;192610;139147;106098;151857;90665;54974
2020;3. Quartal;07;B Investitionsgüter;105385;57687;21950;140100;66677;17133
2020;3. Quartal;07;GG Gebrauchsgüter;-;-;-;-;-;-
2020;3. Quartal;07;VG Verbrauchsgüter;-;-;-;-;-;-
2020;3. Quartal;07;Verarbeitendes Gewerbe gesamt;330227;217872;147067;326066;180224;91625
2020;3. Quartal;08;A+EN Vorleistungsgüter und Energie;201641;133757;87335;200083;133313;92930
2020;3. Quartal;08;B Investitionsgüter;159915;59596;7814;109345;51794;10319
2020;3. Quartal;08;GG Gebrauchsgüter;-;-;-;-;-;-
2020;3. Quartal;08;VG Verbrauchsgüter;-;-;-;-;-;-
2020;3. Quartal;08;Verarbeitendes Gewerbe gesamt;393369;211813;111864;344389;208484;123411
2020;3. Quartal;09;A+EN Vorleistungsgüter und Energie;172617;130298;90726;166066;120393;77610
2020;3. Quartal;09;B Investitionsgüter;131785;51440;16711;182078;71765;16210
2020;3. Quartal;09;GG Gebrauchsgüter;-;-;-;-;-;-
2020;3. Quartal;09;VG Verbrauchsgüter;-;-;-;-;-;-
2020;3. Quartal;09;Verarbeitendes Gewerbe gesamt;341517;201389;125553;383702;215559;113523
2020;4. Quartal;10;A+EN Vorleistungsgüter und Energie;178360;116673;81874;165583;108411;71084
2020;4. Quartal;10;B Investitionsgüter;176872;61719;27878;147652;55032;25728
2020;4. Quartal;10;GG Gebrauchsgüter;-;-;-;-;-;-
2020;4. Quartal;10;VG Verbrauchsgüter;-;-;-;-;-;-
2020;4. Quartal;10;Verarbeitendes Gewerbe gesamt;390039;200172;129747;348555;184489;115772
2020;4. Quartal;11;A+EN Vorleistungsgüter und Energie;184426;130771;87646;172601;116661;76060
2020;4. Quartal;11;B Investitionsgüter;175131;94706;45768;193263;71478;25820
2020;4. Quartal;11;GG Gebrauchsgüter;-;-;-;-;-;-
2020;4. Quartal;11;VG Verbrauchsgüter;-;-;-;-;-;-
2020;4. Quartal;11;Verarbeitendes Gewerbe gesamt;393536;247700;153392;400981;209334;120687
2020;4. Quartal;12;A+EN Vorleistungsgüter und Energie;226372;133935;85774;270416;187473;143077
2020;4. Quartal;12;B Investitionsgüter;184974;144327;44705;245952;131419;60985
2020;4. Quartal;12;GG Gebrauchsgüter;-;-;-;-;-;-
2020;4. Quartal;12;VG Verbrauchsgüter;-;-;-;-;-;-
2020;4. Quartal;12;Verarbeitendes Gewerbe gesamt;452945;309274;160195;558980;351313;233197
2021;1. Quartal;01;A+EN Vorleistungsgüter und Energie;212036;142578;15003;184801;117926;15449
2021;1. Quartal;01;B Investitionsgüter;116946;60770;28065;88583;60669;9937
2021;1. Quartal;01;GG Gebrauchsgüter;-;-;-;-;-;-
2021;1. Quartal;01;VG Verbrauchsgüter;-;-;-;-;-;-
2021;1. Quartal;01;Verarbeitendes Gewerbe gesamt;359517;223784;62200;306776;200814;44851
2021;1. Quartal;02;A+EN Vorleistungsgüter und Energie;223587;156188;12179;177903;119433;11999
2021;1. Quartal;02;B Investitionsgüter;185017;81517;20162;95590;49959;11290
2021;1. Quartal;02;GG Gebrauchsgüter;-;-;-;-;-;-
2021;1. Quartal;02;VG Verbrauchsgüter;-;-;-;-;-;-
2021;1. Quartal;02;Verarbeitendes Gewerbe gesamt;440264;260566;52007;304786;191492;42992
2021;1. Quartal;03;A+EN Vorleistungsgüter und Energie;258653;181892;21600;216882;143442;17352
2021;1. Quartal;03;B Investitionsgüter;169585;101830;41203;238748;186714;14664
2021;1. Quartal;03;GG Gebrauchsgüter;-;-;-;-;-;-
2021;1. Quartal;03;VG Verbrauchsgüter;-;-;-;-;-;-
2021;1. Quartal;03;Verarbeitendes Gewerbe gesamt;463862;306963;82994;493865;355613;52681
2021;2. Quartal;04;A+EN Vorleistungsgüter und Energie;219490;136860;13441;177429;-;-
2021;2. Quartal;04;B Investitionsgüter;197419;129866;83104;100286;57172;13727
2021;2. Quartal;04;GG Gebrauchsgüter;-;-;-;-;-;-
2021;2. Quartal;04;VG Verbrauchsgüter;-;-;-;-;-;-
2021;2. Quartal;04;Verarbeitendes Gewerbe gesamt;447976;288277;114970;308701;192943;49125
2021;2. Quartal;05;A+EN Vorleistungsgüter und Energie;237413;153452;28519;244239;170143;20066
2021;2. Quartal;05;B Investitionsgüter;157272;88834;38023;87982;42409;18985
2021;2. Quartal;05;GG Gebrauchsgüter;-;-;-;-;-;-
2021;2. Quartal;05;VG Verbrauchsgüter;-;-;-;-;-;-
2021;2. Quartal;05;Verarbeitendes Gewerbe gesamt;440840;278810;100343;379631;248628;72603
2021;2. Quartal;06;A+EN Vorleistungsgüter und Energie;233893;141681;23314;244372;163418;21449
2021;2. Quartal;06;B Investitionsgüter;361375;288236;101689;106968;52810;16543
2021;2. Quartal;06;GG Gebrauchsgüter;-;-;-;-;-;-
2021;2. Quartal;06;VG Verbrauchsgüter;-;-;-;-;-;-
2021;2. Quartal;06;Verarbeitendes Gewerbe gesamt;642517;467590;160604;400918;255285;73132
2021;3. Quartal;07;A+EN Vorleistungsgüter und Energie;222843;134106;15366;210193;139020;20151
2021;3. Quartal;07;B Investitionsgüter;195868;111268;48840;140453;79395;17059
2021;3. Quartal;07;GG Gebrauchsgüter;-;-;-;-;-;-
2021;3. Quartal;07;VG Verbrauchsgüter;-;-;-;-;-;-
2021;3. Quartal;07;Verarbeitendes Gewerbe gesamt;463146;280419;97508;395768;254130;70581
2021;3. Quartal;08;A+EN Vorleistungsgüter und Energie;235515;132244;15471;227839;-;-
2021;3. Quartal;08;B Investitionsgüter;144129;81470;22640;99207;53251;15790
2021;3. Quartal;08;GG Gebrauchsgüter;-;-;-;-;-;-
2021;3. Quartal;08;VG Verbrauchsgüter;-;-;-;-;-;-
2021;3. Quartal;08;Verarbeitendes Gewerbe gesamt;428082;251123;72574;373906;229944;62392
2021;3. Quartal;09;A+EN Vorleistungsgüter und Energie;281215;169763;26258;255809;147410;31849
2021;3. Quartal;09;B Investitionsgüter;273847;198255;51109;142388;80467;17661
2021;3. Quartal;09;GG Gebrauchsgüter;-;-;-;-;-;-
2021;3. Quartal;09;VG Verbrauchsgüter;-;-;-;-;-;-
2021;3. Quartal;09;Verarbeitendes Gewerbe gesamt;603971;407090;112429;453931;269772;86607
2021;4. Quartal;10;A+EN Vorleistungsgüter und Energie;239451;151793;31641;226514;150219;24026
2021;4. Quartal;10;B Investitionsgüter;150309;87052;26570;115795;61798;18139
2021;4. Quartal;10;GG Gebrauchsgüter;-;-;-;-;-;-
2021;4. Quartal;10;VG Verbrauchsgüter;-;-;-;-;-;-
2021;4. Quartal;10;Verarbeitendes Gewerbe gesamt;436636;275980;93512;389394;246208;74218
2021;4. Quartal;11;A+EN Vorleistungsgüter und Energie;262468;153868;21674;250801;157352;18845
2021;4. Quartal;11;B Investitionsgüter;287881;194287;143950;143778;71137;12277
2021;4. Quartal;11;GG Gebrauchsgüter;-;-;-;-;-;-
2021;4. Quartal;11;VG Verbrauchsgüter;-;-;-;-;-;-
2021;4. Quartal;11;Verarbeitendes Gewerbe gesamt;600070;385852;199352;446160;266683;67919
2021;4. Quartal;12;A+EN Vorleistungsgüter und Energie;257047;154278;19164;294540;182320;21851
2021;4. Quartal;12;B Investitionsgüter;428394;-;-;163871;-;-
2021;4. Quartal;12;GG Gebrauchsgüter;-;-;-;-;-;-
2021;4. Quartal;12;VG Verbrauchsgüter;-;-;-;-;-;-
2021;4. Quartal;12;Verarbeitendes Gewerbe gesamt;723464;519844;232471;495245;305147;59808
2022;1. Quartal;01;A+EN Vorleistungsgüter und Energie;287018;169076;27660;270906;177907;18829
2022;1. Quartal;01;B Investitionsgüter;313161;244830;155236;109655;68101;38660
2022;1. Quartal;01;GG Gebrauchsgüter;-;-;-;-;-;-
2022;1. Quartal;01;VG Verbrauchsgüter;-;-;-;-;-;-
2022;1. Quartal;01;Verarbeitendes Gewerbe gesamt;629291;437249;201701;409069;267780;76510
2022;1. Quartal;02;A+EN Vorleistungsgüter und Energie;282149;180445;36954;268018;164740;16853
2022;1. Quartal;02;B Investitionsgüter;143037;82705;31180;104611;47559;13576
2022;1. Quartal;02;GG Gebrauchsgüter;-;-;-;-;-;-
2022;1. Quartal;02;VG Verbrauchsgüter;-;-;-;-;-;-
2022;1. Quartal;02;Verarbeitendes Gewerbe gesamt;456148;287455;86526;404357;236545;50808
2022;1. Quartal;03;A+EN Vorleistungsgüter und Energie;293665;174116;41892;291846;180300;27705
2022;1. Quartal;03;B Investitionsgüter;305819;216955;162251;128044;51406;15687
2022;1. Quartal;03;GG Gebrauchsgüter;-;-;-;-;-;-
2022;1. Quartal;03;VG Verbrauchsgüter;-;-;-;-;-;-
2022;1. Quartal;03;Verarbeitendes Gewerbe gesamt;631257;415718;223700;456218;258801;67240
2022;2. Quartal;04;A+EN Vorleistungsgüter und Energie;294628;170068;31543;278256;169541;16320
2022;2. Quartal;04;B Investitionsgüter;283572;178641;24681;139046;81487;47469
2022;2. Quartal;04;GG Gebrauchsgüter;4462;-;-;-;-;-
2022;2. Quartal;04;VG Verbrauchsgüter;21806;-;-;-;-;-
2022;2. Quartal;04;Verarbeitendes Gewerbe gesamt;604467;368568;73415;444305;271547;80642
2022;2. Quartal;05;A+EN Vorleistungsgüter und Energie;275272;152146;15864;298830;197874;17032
2022;2. Quartal;05;B Investitionsgüter;246362;148696;69100;127719;68532;36640
2022;2. Quartal;05;GG Gebrauchsgüter;-;-;-;-;-;-
2022;2. Quartal;05;VG Verbrauchsgüter;-;-;-;-;-;-
2022;2. Quartal;05;Verarbeitendes Gewerbe gesamt;552746;325080;105120;459618;291331;76272
2022;2. Quartal;06;A+EN Vorleistungsgüter und Energie;340143;200218;42842;324816;196193;27284
2022;2. Quartal;06;B Investitionsgüter;260637;185171;23981;155747;85610;25966
2022;2. Quartal;06;GG Gebrauchsgüter;-;-;-;-;-;-
2022;2. Quartal;06;VG Verbrauchsgüter;-;-;-;-;-;-
2022;2. Quartal;06;Verarbeitendes Gewerbe gesamt;633403;411325;89517;510877;305211;74491
2022;3. Quartal;07;A+EN Vorleistungsgüter und Energie;358240;216512;41583;331191;216235;24511
2022;3. Quartal;07;B Investitionsgüter;177040;106541;19205;126870;70076;25471
2022;3. Quartal;07;GG Gebrauchsgüter;-;-;-;-;-;-
2022;3. Quartal;07;VG Verbrauchsgüter;-;-;-;-;-;-
2022;3. Quartal;07;Verarbeitendes Gewerbe gesamt;562733;345028;79499;487838;309425;69586
2022;3. Quartal;08;A+EN Vorleistungsgüter und Energie;294462;170975;23775;364557;232221;28779
2022;3. Quartal;08;B Investitionsgüter;201052;100600;63026;163180;102502;55827
2022;3. Quartal;08;GG Gebrauchsgüter;-;-;-;-;-;-
2022;3. Quartal;08;VG Verbrauchsgüter;-;-;-;-;-;-
2022;3. Quartal;08;Verarbeitendes Gewerbe gesamt;528724;295105;106469;559903;359757;105785
2022;3. Quartal;09;A+EN Vorleistungsgüter und Energie;316501;195787;43479;442535;307511;37899
2022;3. Quartal;09;B Investitionsgüter;169013;83200;18563;190626;115460;22619
2022;3. Quartal;09;GG Gebrauchsgüter;-;-;-;-;-;-
2022;3. Quartal;09;VG Verbrauchsgüter;-;-;-;-;-;-
2022;3. Quartal;09;Verarbeitendes Gewerbe gesamt;516463;302787;83406;669483;450453;83281
2022;4. Quartal;10;A+EN Vorleistungsgüter und Energie;288083;160737;27606;286152;174707;17624
2022;4. Quartal;10;B Investitionsgüter;158527;77603;20313;115629;58806;18723
2022;4. Quartal;10;GG Gebrauchsgüter;-;-;-;-;-;-
2022;4. Quartal;10;VG Verbrauchsgüter;-;-;-;-;-;-
2022;4. Quartal;10;Verarbeitendes Gewerbe gesamt;484079;262174;65688;439301;259043;59445
2022;4. Quartal;11;A+EN Vorleistungsgüter und Energie;347414;197436;56820;345894;215839;24480
2022;4. Quartal;11;B Investitionsgüter;149238;82043;47109;164447;80673;26298
2022;4. Quartal;11;GG Gebrauchsgüter;-;-;-;-;-;-
2022;4. Quartal;11;VG Verbrauchsgüter;-;-;-;-;-;-
2022;4. Quartal;11;Verarbeitendes Gewerbe gesamt;526601;301511;122564;546663;322007;72262
2022;4. Quartal;12;A+EN Vorleistungsgüter und Energie;381848;208347;43123;288562;161686;32213
2022;4. Quartal;12;B Investitionsgüter;388180;221213;43868;301735;202367;41751
2022;4. Quartal;12;GG Gebrauchsgüter;-;-;-;-;-;-
2022;4. Quartal;12;VG Verbrauchsgüter;-;-;-;-;-;-
2022;4. Quartal;12;Verarbeitendes Gewerbe gesamt;814203;467453;121604;632820;399014;103968
2023;1. Quartal;01;A+EN Vorleistungsgüter und Energie;327599;171589;28228;321416;196674;27185
2023;1. Quartal;01;B Investitionsgüter;280184;106704;37627;126959;73503;23927
2023;1. Quartal;01;GG Gebrauchsgüter;-;-;-;-;-;-
2023;1. Quartal;01;VG Verbrauchsgüter;-;-;-;-;-;-
2023;1. Quartal;01;Verarbeitendes Gewerbe gesamt;640752;302157;86512;482233;297202;73556
2023;1. Quartal;02;A+EN Vorleistungsgüter und Energie;297985;161555;31713;269519;144172;26885
2023;1. Quartal;02;B Investitionsgüter;128155;70528;38371;138998;88936;39336
2023;1. Quartal;02;GG Gebrauchsgüter;-;-;-;-;-;-
2023;1. Quartal;02;VG Verbrauchsgüter;-;-;-;-;-;-
2023;1. Quartal;02;Verarbeitendes Gewerbe gesamt;456386;255471;90639;441991;259337;88160
2023;1. Quartal;03;A+EN Vorleistungsgüter und Energie;369675;211777;43999;347203;203290;33434
2023;1. Quartal;03;B Investitionsgüter;310027;176703;61300;177882;106074;39870
2023;1. Quartal;03;GG Gebrauchsgüter;-;-;-;-;-;-
2023;1. Quartal;03;VG Verbrauchsgüter;-;-;-;-;-;-
2023;1. Quartal;03;Verarbeitendes Gewerbe gesamt;719820;420512;133251;565216;340234;99816
2023;2. Quartal;04;A+EN Vorleistungsgüter und Energie;311748;156774;22808;318133;194799;15254
2023;2. Quartal;04;B Investitionsgüter;151868;79262;19709;148132;90171;46702
2023;2. Quartal;04;GG Gebrauchsgüter;-;-;-;-;-;-
2023;2. Quartal;04;VG Verbrauchsgüter;-;-;-;-;-;-
2023;2. Quartal;04;Verarbeitendes Gewerbe gesamt;491638;257312;62475;499824;310945;84769
2023;2. Quartal;05;A+EN Vorleistungsgüter und Energie;291493;174586;31522;294682;173014;20857
2023;2. Quartal;05;B Investitionsgüter;447265;376875;89952;145087;71319;22809
2023;2. Quartal;05;GG Gebrauchsgüter;-;-;-;-;-;-
2023;2. Quartal;05;VG Verbrauchsgüter;-;-;-;-;-;-
2023;2. Quartal;05;Verarbeitendes Gewerbe gesamt;774073;580389;144313;475486;271106;66251
2023;2. Quartal;06;A+EN Vorleistungsgüter und Energie;355501;190466;26916;380518;237706;37014
2023;2. Quartal;06;B Investitionsgüter;-;-;-;184067;-;-
2023;2. Quartal;06;GG Gebrauchsgüter;-;-;-;-;-;-
2023;2. Quartal;06;VG Verbrauchsgüter;28842;22300;21344;-;-;-
2023;2. Quartal;06;Verarbeitendes Gewerbe gesamt;1131974;896313;101722;600007;380216;94720
2023;3. Quartal;07;A+EN Vorleistungsgüter und Energie;324467;170078;14353;324368;190549;15526
2023;3. Quartal;07;B Investitionsgüter;153367;95395;36543;118455;73679;27852
2023;3. Quartal;07;GG Gebrauchsgüter;-;-;-;-;-;-
2023;3. Quartal;07;VG Verbrauchsgüter;-;-;-;-;-;-
2023;3. Quartal;07;Verarbeitendes Gewerbe gesamt;509077;288540;71532;475840;288650;65436
2023;3. Quartal;08;A+EN Vorleistungsgüter und Energie;363626;179151;21365;359703;205461;23536
2023;3. Quartal;08;B Investitionsgüter;190368;109015;58653;169682;87907;55504
2023;3. Quartal;08;GG Gebrauchsgüter;-;-;-;-;-;-
2023;3. Quartal;08;VG Verbrauchsgüter;-;-;-;-;-;-
2023;3. Quartal;08;Verarbeitendes Gewerbe gesamt;595720;314925;103669;569200;324628;105100
2023;3. Quartal;09;A+EN Vorleistungsgüter und Energie;366949;205684;25408;375088;228476;32107
2023;3. Quartal;09;B Investitionsgüter;268813;214880;33211;171062;87753;29064
2023;3. Quartal;09;GG Gebrauchsgüter;-;-;-;-;-;-
2023;3. Quartal;09;VG Verbrauchsgüter;-;-;-;-;-;-
2023;3. Quartal;09;Verarbeitendes Gewerbe gesamt;668293;446220;81966;584746;345133;85873
2023;4. Quartal;10;A+EN Vorleistungsgüter und Energie;331933;175881;14959;345202;-;-
2023;4. Quartal;10;B Investitionsgüter;157340;77384;24244;183013;128878;58855
2023;4. Quartal;10;GG Gebrauchsgüter;-;-;-;-;-;-
2023;4. Quartal;10;VG Verbrauchsgüter;-;-;-;-;-;-
2023;4. Quartal;10;Verarbeitendes Gewerbe gesamt;521682;277979;61721;567981;367799;97136
2023;4. Quartal;11;A+EN Vorleistungsgüter und Energie;348545;182436;30077;344340;183996;28257
2023;4. Quartal;11;B Investitionsgüter;154049;91317;50234;170161;91015;28457
2023;4. Quartal;11;GG Gebrauchsgüter;-;-;-;-;-;-
2023;4. Quartal;11;VG Verbrauchsgüter;-;-;-;-;-;-
2023;4. Quartal;11;Verarbeitendes Gewerbe gesamt;534641;297266;102031;552112;301598;80134
2023;4. Quartal;12;A+EN Vorleistungsgüter und Energie;376523;-;-;388839;-;-
2023;4. Quartal;12;B Investitionsgüter;220326;158863;104513;500516;382215;50386
2023;4. Quartal;12;GG Gebrauchsgüter;-;-;-;-;-;-
2023;4. Quartal;12;VG Verbrauchsgüter;-;-;-;-;-;-
2023;4. Quartal;12;Verarbeitendes Gewerbe gesamt;631167;376702;159121;927214;609210;115290
2024;1. Quartal;01;A+EN Vorleistungsgüter und Energie;357815;164776;29222;329814;182369;31843
2024;1. Quartal;01;B Investitionsgüter;183970;99652;29632;159688;102741;63550
2024;1. Quartal;01;GG Gebrauchsgüter;-;-;-;-;-;-
2024;1. Quartal;01;VG Verbrauchsgüter;-;-;-;-;-;-
2024;1. Quartal;01;Verarbeitendes Gewerbe gesamt;574132;288761;79976;527619;313900;119245
2024;1. Quartal;02;A+EN Vorleistungsgüter und Energie;366314;195451;20300;299151;172462;26715
2024;1. Quartal;02;B Investitionsgüter;160033;100046;38241;133166;85042;36747
2024;1. Quartal;02;GG Gebrauchsgüter;-;-;-;-;-;-
2024;1. Quartal;02;VG Verbrauchsgüter;-;-;-;-;-;-
2024;1. Quartal;02;Verarbeitendes Gewerbe gesamt;559877;320387;80141;465892;282559;85865
2024;1. Quartal;03;A+EN Vorleistungsgüter und Energie;415903;197432;27166;333642;189270;34041
2024;1. Quartal;03;B Investitionsgüter;145853;67450;24596;174006;103243;44278
2024;1. Quartal;03;GG Gebrauchsgüter;-;-;-;-;-;-
2024;1. Quartal;03;VG Verbrauchsgüter;-;-;-;-;-;-
2024;1. Quartal;03;Verarbeitendes Gewerbe gesamt;603350;289453;73255;544529;320282;101796
2024;2. Quartal;04;A+EN Vorleistungsgüter und Energie;363466;186276;15370;334546;191173;17436
2024;2. Quartal;04;B Investitionsgüter;159129;79962;33697;184729;123508;35616
2024;2. Quartal;04;GG Gebrauchsgüter;-;-;-;-;-;-
2024;2. Quartal;04;VG Verbrauchsgüter;-;-;-;-;-;-
2024;2. Quartal;04;Verarbeitendes Gewerbe gesamt;554620;291634;70077;554174;341188;75616
2024;2. Quartal;05;A+EN Vorleistungsgüter und Energie;384169;191195;16233;306799;174659;19274
2024;2. Quartal;05;B Investitionsgüter;162011;74939;14665;214995;150995;61218
2024;2. Quartal;05;GG Gebrauchsgüter;-;-;-;-;-;-
2024;2. Quartal;05;VG Verbrauchsgüter;-;-;-;-;-;-
2024;2. Quartal;05;Verarbeitendes Gewerbe gesamt;577136;290302;52535;555834;350786;102722
2024;2. Quartal;06;A+EN Vorleistungsgüter und Energie;365429;184297;50234;408770;238280;57902
2024;2. Quartal;06;B Investitionsgüter;155323;91947;52356;220809;147792;48277
2024;2. Quartal;06;GG Gebrauchsgüter;-;-;-;-;-;-
2024;2. Quartal;06;VG Verbrauchsgüter;-;-;-;-;-;-
2024;2. Quartal;06;Verarbeitendes Gewerbe gesamt;552833;302424;124457;662882;411140;128451
2024;3. Quartal;07;A+EN Vorleistungsgüter und Energie;304967;-;-;225611;-;-
2024;3. Quartal;07;B Investitionsgüter;326294;224428;132726;207190;145452;69234
2024;3. Quartal;07;GG Gebrauchsgüter;-;-;-;-;-;-
2024;3. Quartal;07;VG Verbrauchsgüter;-;-;-;-;-;-
2024;3. Quartal;07;Verarbeitendes Gewerbe gesamt;666663;422110;163894;467399;322889;101100
2024;3. Quartal;08;A+EN Vorleistungsgüter und Energie;358655;-;-;311801;-;-
2024;3. Quartal;08;B Investitionsgüter;319371;87915;30715;194026;129045;50932
2024;3. Quartal;08;GG Gebrauchsgüter;-;-;-;-;-;-
2024;3. Quartal;08;VG Verbrauchsgüter;-;-;-;-;-;-
2024;3. Quartal;08;Verarbeitendes Gewerbe gesamt;706820;290828;61716;539389;325620;84022
2024;3. Quartal;09;A+EN Vorleistungsgüter und Energie;370583;227493;39305;313629;177113;43273
2024;3. Quartal;09;B Investitionsgüter;224742;75559;30471;272478;200636;46207
2024;3. Quartal;09;GG Gebrauchsgüter;-;-;-;-;-;-
2024;3. Quartal;09;VG Verbrauchsgüter;-;-;-;-;-;-
2024;3. Quartal;09;Verarbeitendes Gewerbe gesamt;627065;326973;91558;625016;406631;114331
2024;4. Quartal;10;A+EN Vorleistungsgüter und Energie;292678;192173;12721;296317;196426;11913
2024;4. Quartal;10;B Investitionsgüter;164703;100417;32956;179354;115271;42537
